NAICS,Industry,Direct Sales,Indirect Sales,Induced Sales,Direct Jobs,Indirect Jobs,Induced Jobs,Direct Earnings,Indirect Earnings,Induced Earnings,Direct Value Added,Indirect Value Added,Induced Value Added,Value Added To Sales,Jobs To Sales,Earnings To Sales,Total Sales,Total Jobs,Total Earnings
212311,Dimension Stone Mining and Quarrying,0.0265,0.0010,0.1878,0.1161,0.0053,0.2222,0.0387,0.0016,0.1020,0.0227,0.0009,0.2205,0.6499,0.0000,0.2210,1.2153,1.3436,1.1423
212312,Crushed and Broken Limestone Mining and Quarrying,0.0262,0.0010,0.1876,0.0895,0.0041,0.1739,0.0384,0.0016,0.1021,0.0225,0.0008,0.2203,0.6498,0.0000,0.2213,1.2148,1.2674,1.1421
212313,Crushed and Broken Granite Mining and Quarrying,0.0266,0.0010,0.1876,0.1063,0.0048,0.2021,0.0387,0.0016,0.1028,0.0228,0.0009,0.2200,0.6494,0.0000,0.2215,1.2152,1.3132,1.1432
212319,Other Crushed and Broken Stone Mining and Quarrying,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
212321,Construction Sand and Gravel Mining,0.0306,0.0012,0.1625,0.0960,0.0042,0.1594,0.0365,0.0015,0.0901,0.0269,0.0010,0.1869,0.6280,0.0000,0.2780,1.1943,1.2596,1.1281
212322,Industrial Sand Mining,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",0.0310,0.0012,0.1657,0.0996,0.0044,0.1742,0.0372,0.0016,0.0976,0.0273,0.0011,0.1878,0.6281,0.0000,0.2756,1.1979,1.2781,1.1363
212390,Other Nonmetallic Mineral Mining and Quarrying,0.0306,0.0012,0.1629,0.0518,0.0023,0.0871,0.0365,0.0015,0.0906,0.0269,0.0010,0.1872,0.6282,0.0000,0.2774,1.1947,1.1412,1.1287
213111,Drilling Oil and Gas Wells,0.0137,0.0007,0.1735,0.0547,0.0040,0.2064,0.0126,0.0008,0.0655,0.0108,0.0005,0.1927,0.6979,0.0000,0.2963,1.1878,1.2651,1.0789
213112,Support Activities for Oil and Gas Operations,0.0220,0.0009,0.1246,0.2699,0.0133,0.2931,0.0201,0.0009,0.0250,0.0175,0.0007,0.1505,0.6816,0.0000,0.3829,1.1475,1.5764,1.0460
213113,Support Activities for Coal Mining,0.0114,0.0004,0.2976,0.0447,0.0022,0.7196,0.0104,0.0005,0.2679,0.0077,0.0003,0.1773,0.8450,0.0000,0.3639,1.3094,1.7665,1.2788
213114,Support Activities for Metal Mining,0.0150,0.0006,0.2443,0.1355,0.0063,1.2270,0.0130,0.0006,0.1908,0.0108,0.0004,0.1662,0.7976,0.0000,0.3806,1.2599,2.3688,1.2043
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,0.0115,0.0004,0.2980,0.0724,0.0037,1.2452,0.0094,0.0004,0.2640,0.0081,0.0003,0.1737,0.8517,0.0000,0.3762,1.3099,2.3213,1.2738
221111,Hydroelectric Power Generation,0.0151,0.0006,0.2531,0.0823,0.0049,0.4328,0.0354,0.0016,0.2682,0.0123,0.0005,0.2580,0.7024,0.0000,0.1472,1.2688,1.5199,1.3053
221112,Fossil Fuel Electric Power Generation,0.0151,0.0006,0.2556,0.0679,0.0040,0.3633,0.0364,0.0016,0.2829,0.0123,0.0005,0.2594,0.7020,0.0000,0.1436,1.2713,1.4351,1.3209
221113,Nuclear Electric Power Generation,0.0151,0.0006,0.2534,0.2795,0.0163,1.4556,0.0360,0.0016,0.2714,0.0123,0.0005,0.2590,0.7017,0.0000,0.1448,1.2691,2.7514,1.3090
221114,Solar Electric Power Generation,0.0153,0.0006,0.2524,0.0654,0.0037,0.3398,0.0362,0.0016,0.2745,0.0125,0.0005,0.2576,0.6976,0.0000,0.1467,1.2683,1.4090,1.3123
221115,Wind Electric Power Generation,0.0151,0.0006,0.2569,0.1188,0.0069,0.6621,0.0367,0.0017,0.2976,0.0124,0.0005,0.2592,0.6988,0.0000,0.1425,1.2727,1.7879,1.3359
221116,Geothermal Electric Power Generation,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
221117,Biomass Electric Power Generation,0.0151,0.0006,0.2529,0.1085,0.0065,0.5811,0.0357,0.0016,0.2734,0.0124,0.0005,0.2589,0.6994,0.0000,0.1446,1.2687,1.6961,1.3108
221118,Other Electric Power Generation,0.0151,0.0006,0.2523,0.0484,0.0028,0.2555,0.0357,0.0016,0.2725,0.0124,0.0005,0.2581,0.6981,0.0000,0.1459,1.2680,1.3067,1.3098
221121,Electric Bulk Power Transmission and Control,0.0151,0.0006,0.2535,0.0580,0.0034,0.3028,0.0363,0.0016,0.2749,0.0123,0.0005,0.2593,0.7004,0.0000,0.1440,1.2693,1.3641,1.3128
221122,Electric Power Distribution,0.0151,0.0006,0.2537,0.0617,0.0036,0.3278,0.0358,0.0016,0.2770,0.0124,0.0005,0.2578,0.7000,0.0000,0.1467,1.2695,1.3931,1.3144
221210,Natural Gas Distribution,0.0171,0.0009,0.2571,0.0746,0.0051,0.3861,0.0261,0.0013,0.2042,0.0126,0.0006,0.2088,0.7852,0.0000,0.2772,1.2751,1.4657,1.2316
221310,Water Supply and Irrigation Systems,0.0102,0.0005,0.1857,0.0136,0.0010,0.0927,0.0117,0.0006,0.1026,0.0085,0.0004,0.1787,0.7161,0.0000,0.3276,1.1964,1.1073,1.1148
221320,Sewage Treatment Facilities,0.0103,0.0005,0.1859,0.0090,0.0007,0.0619,0.0117,0.0006,0.1026,0.0085,0.0004,0.1790,0.7161,0.0000,0.3272,1.1966,1.0716,1.1150
221330,Steam and Air-Conditioning Supply,0.0094,0.0005,0.1860,0.0135,0.0011,0.1056,0.0109,0.0006,0.1029,0.0077,0.0003,0.1790,0.7162,0.0000,0.3269,1.1958,1.1202,1.1144
236115,New Single-Family Housing Construction (except For-Sale Builders),0.0224,0.0011,0.0585,0.0410,0.0033,0.0371,0.0157,0.0010,0.0159,0.0238,0.0011,0.0878,0.5293,0.0000,0.4037,1.0820,1.0815,1.0326
236116,New Multifamily Housing Construction (except For-Sale Builders),0.0224,0.0011,0.0581,0.0122,0.0010,0.0110,0.0156,0.0010,0.0157,0.0237,0.0011,0.0873,0.5293,0.0000,0.4045,1.0816,1.0241,1.0324
236117,New Housing For-Sale Builders,0.0224,0.0011,0.0590,0.0108,0.0009,0.0099,0.0157,0.0010,0.0162,0.0238,0.0011,0.0885,0.5292,0.0000,0.4027,1.0825,1.0216,1.0329
236118,Residential Remodelers,0.0224,0.0011,0.0579,0.0072,0.0006,0.0065,0.0156,0.0010,0.0157,0.0237,0.0011,0.0870,0.5293,0.0000,0.4052,1.0814,1.0143,1.0323
236210,Industrial Building Construction,0.0225,0.0011,0.0593,0.0164,0.0013,0.0151,0.0158,0.0010,0.0163,0.0238,0.0011,0.0889,0.5295,0.0000,0.4020,1.0829,1.0329,1.0331
236220,Commercial and Institutional Building Construction,0.0224,0.0011,0.0581,0.0252,0.0021,0.0227,0.0157,0.0010,0.0158,0.0237,0.0011,0.0873,0.5293,0.0000,0.4045,1.0817,1.0499,1.0324
237110,Water and Sewer Line and Related Structures Construction,0.0225,0.0011,0.0585,0.0189,0.0015,0.0173,0.0157,0.0010,0.0160,0.0238,0.0011,0.0877,0.5294,0.0000,0.4041,1.0820,1.0377,1.0327
237120,Oil and Gas Pipeline and Related Structures Construction,0.0225,0.0011,0.0599,0.0184,0.0015,0.0170,0.0158,0.0010,0.0164,0.0238,0.0011,0.0898,0.5294,0.0000,0.4007,1.0834,1.0369,1.0333
237130,Power and Communication Line and Related Structures Construction,0.0225,0.0011,0.0586,0.0276,0.0022,0.0248,0.0157,0.0010,0.0159,0.0238,0.0011,0.0879,0.5293,0.0000,0.4032,1.0821,1.0547,1.0326
237210,Land Subdivision,0.0225,0.0011,0.0585,0.0357,0.0029,0.0319,0.0157,0.0010,0.0158,0.0238,0.0011,0.0879,0.5294,0.0000,0.4033,1.0820,1.0705,1.0325
237310,"Highway, Street, and Bridge Construction",0.0225,0.0011,0.0585,0.0215,0.0018,0.0196,0.0157,0.0010,0.0159,0.0238,0.0011,0.0878,0.5294,0.0000,0.4039,1.0820,1.0428,1.0326
237990,Other Heavy and Civil Engineering Construction,0.0225,0.0011,0.0589,0.0236,0.0019,0.0215,0.0157,0.0010,0.0160,0.0238,0.0011,0.0885,0.5294,0.0000,0.4027,1.0825,1.0469,1.0328
238110,Poured Concrete Foundation and Structure Contractors,0.0224,0.0011,0.0583,0.0181,0.0015,0.0166,0.0157,0.0010,0.0160,0.0238,0.0011,0.0875,0.5293,0.0000,0.4045,1.0819,1.0361,1.0327
238120,Structural Steel and Precast Concrete Contractors,0.0225,0.0011,0.0582,0.0159,0.0013,0.0145,0.0157,0.0010,0.0159,0.0238,0.0011,0.0873,0.5293,0.0000,0.4048,1.0817,1.0317,1.0326
238130,Framing Contractors,0.0225,0.0011,0.0582,0.0148,0.0012,0.0135,0.0157,0.0010,0.0159,0.0238,0.0011,0.0873,0.5293,0.0000,0.4048,1.0817,1.0295,1.0326
238140,Masonry Contractors,0.0225,0.0011,0.0584,0.0112,0.0009,0.0103,0.0157,0.0010,0.0161,0.0238,0.0011,0.0876,0.5294,0.0000,0.4047,1.0820,1.0225,1.0328
238150,Glass and Glazing Contractors,0.0224,0.0011,0.0580,0.0173,0.0014,0.0157,0.0156,0.0010,0.0159,0.0238,0.0011,0.0871,0.5293,0.0000,0.4050,1.0816,1.0343,1.0325
238160,Roofing Contractors,0.0224,0.0011,0.0585,0.0116,0.0009,0.0106,0.0157,0.0010,0.0160,0.0238,0.0011,0.0878,0.5293,0.0000,0.4040,1.0820,1.0231,1.0327
238170,Siding Contractors,0.0224,0.0011,0.0585,0.0072,0.0006,0.0066,0.0156,0.0010,0.0161,0.0237,0.0011,0.0878,0.5293,0.0000,0.4039,1.0820,1.0144,1.0327
238190,"Other Foundation, Structure, and Building Exterior Contractors",0.0224,0.0011,0.0587,0.0145,0.0012,0.0133,0.0157,0.0010,0.0161,0.0237,0.0011,0.0881,0.5293,0.0000,0.4035,1.0822,1.0289,1.0328
238210,Electrical Contractors and Other Wiring Installation Contractors,0.0224,0.0011,0.0581,0.0145,0.0012,0.0132,0.0156,0.0010,0.0158,0.0237,0.0011,0.0873,0.5294,0.0000,0.4046,1.0817,1.0289,1.0325
238220,"Plumbing, Heating, and Air-Conditioning Contractors",0.0224,0.0011,0.0582,0.0149,0.0012,0.0135,0.0157,0.0010,0.0159,0.0238,0.0011,0.0874,0.5293,0.0000,0.4045,1.0817,1.0295,1.0325
238290,Other Building Equipment Contractors,0.0224,0.0011,0.0582,0.0260,0.0021,0.0236,0.0157,0.0010,0.0159,0.0238,0.0011,0.0874,0.5293,0.0000,0.4046,1.0817,1.0517,1.0326
238310,Drywall and Insulation Contractors,0.0225,0.0011,0.0582,0.0161,0.0013,0.0147,0.0157,0.0010,0.0160,0.0238,0.0011,0.0874,0.5293,0.0000,0.4049,1.0818,1.0321,1.0326
238320,Painting and Wall Covering Contractors,0.0225,0.0011,0.0584,0.0087,0.0007,0.0079,0.0157,0.0010,0.0159,0.0238,0.0011,0.0876,0.5293,0.0000,0.4043,1.0819,1.0174,1.0326
238330,Flooring Contractors,0.0225,0.0011,0.0584,0.0099,0.0008,0.0090,0.0157,0.0010,0.0159,0.0238,0.0011,0.0877,0.5293,0.0000,0.4041,1.0819,1.0196,1.0326
238340,Tile and Terrazzo Contractors,0.0224,0.0011,0.0581,0.0086,0.0007,0.0078,0.0156,0.0010,0.0158,0.0238,0.0011,0.0873,0.5293,0.0000,0.4047,1.0817,1.0171,1.0325
238350,Finish Carpentry Contractors,0.0224,0.0011,0.0582,0.0102,0.0008,0.0092,0.0157,0.0010,0.0159,0.0238,0.0011,0.0874,0.5293,0.0000,0.4045,1.0817,1.0202,1.0325
238390,Other Building Finishing Contractors,0.0225,0.0011,0.0583,0.0180,0.0015,0.0163,0.0157,0.0010,0.0159,0.0238,0.0011,0.0875,0.5293,0.0000,0.4043,1.0818,1.0358,1.0326
238910,Site Preparation Contractors,0.0225,0.0011,0.0586,0.0133,0.0011,0.0121,0.0157,0.0010,0.0160,0.0238,0.0011,0.0879,0.5293,0.0000,0.4037,1.0821,1.0265,1.0328
238990,All Other Specialty Trade Contractors,0.0224,0.0011,0.0585,0.0106,0.0009,0.0096,0.0157,0.0010,0.0160,0.0238,0.0011,0.0879,0.5293,0.0000,0.4038,1.0821,1.0210,1.0327
311111,Dog and Cat Food Manufacturing,0.0226,0.0016,0.0753,0.0733,0.0078,0.0481,0.0594,0.0052,0.0551,0.0394,0.0033,0.2158,0.2854,0.0000,0.1060,1.0996,1.1292,1.1197
311119,Other Animal Food Manufacturing,0.0712,0.0064,0.0404,0.3301,0.0487,0.0607,0.2017,0.0246,0.0627,0.2126,0.0236,0.1892,0.1596,0.0000,0.0882,1.1179,1.4395,1.2890
311211,Flour Milling,0.1729,0.0164,0.0708,1.6172,0.2501,0.1627,0.3936,0.0508,0.0626,0.3521,0.0419,0.2426,0.2323,0.0000,0.1100,1.2601,3.0299,1.5070
311212,Rice Milling,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
311213,Malt Manufacturing,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
311221,Wet Corn Milling and Starch Manufacturing,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
311224,Soybean and Other Oilseed Processing,0.2136,0.0209,0.0712,6.5329,1.0668,0.7276,2.3171,0.3167,0.4665,0.8112,0.1007,0.4220,0.1234,0.0000,0.0224,1.3057,9.3274,4.1003
311225,Fats and Oils Refining and Blending,0.0204,0.0019,0.0432,0.1513,0.0222,0.0776,0.0859,0.0104,0.0695,0.0611,0.0069,0.2151,0.1589,0.0000,0.0612,1.0654,1.2511,1.1657
311230,Breakfast Cereal Manufacturing,0.0123,0.0008,0.0709,0.0210,0.0021,0.0237,0.0264,0.0021,0.0382,0.0197,0.0016,0.1898,0.3080,0.0000,0.1363,1.0841,1.0469,1.0667
311313,Beet Sugar Manufacturing,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
311314,Cane Sugar Manufacturing,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
311340,Nonchocolate Confectionery Manufacturing,0.0352,0.0028,0.0598,0.0786,0.0092,0.0279,0.0725,0.0067,0.0353,0.0620,0.0056,0.1723,0.2813,0.0000,0.1451,1.0978,1.1157,1.1145
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,0.0354,0.0028,0.0601,0.1071,0.0125,0.0379,0.0732,0.0068,0.0354,0.0623,0.0056,0.1732,0.2814,0.0000,0.1445,1.0982,1.1575,1.1153
311352,Confectionery Manufacturing from Purchased Chocolate,0.0354,0.0028,0.0597,0.0677,0.0079,0.0238,0.0726,0.0067,0.0350,0.0622,0.0056,0.1721,0.2814,0.0000,0.1454,1.0978,1.0994,1.1144
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",0.0439,0.0038,0.0584,0.0846,0.0112,0.0250,0.0667,0.0071,0.0278,0.0685,0.0071,0.1533,0.3101,0.0000,0.1808,1.1061,1.1208,1.1016
311412,Frozen Specialty Food Manufacturing,0.0438,0.0038,0.0586,0.0630,0.0084,0.0190,0.0665,0.0071,0.0285,0.0684,0.0071,0.1532,0.3100,0.0000,0.1808,1.1061,1.0904,1.1022
311421,Fruit and Vegetable Canning,0.0308,0.0020,0.0431,0.0711,0.0067,0.0270,0.0451,0.0036,0.0245,0.0511,0.0039,0.1204,0.2830,0.0000,0.1903,1.0759,1.1048,1.0731
311422,Specialty Canning,0.0311,0.0020,0.0435,0.0526,0.0049,0.0202,0.0456,0.0036,0.0253,0.0515,0.0040,0.1210,0.2830,0.0000,0.1898,1.0766,1.0778,1.0746
311423,Dried and Dehydrated Food Manufacturing,0.0311,0.0020,0.0430,0.0592,0.0055,0.0222,0.0454,0.0036,0.0244,0.0515,0.0040,0.1201,0.2830,0.0000,0.1907,1.0761,1.0870,1.0734
311511,Fluid Milk Manufacturing,0.0132,0.0005,0.0414,0.0642,0.0026,0.0472,0.0362,0.0014,0.0383,0.0310,0.0012,0.1540,0.2109,0.0000,0.1167,1.0551,1.1140,1.0759
311512,Creamery Butter Manufacturing,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
311513,Cheese Manufacturing,0.0081,0.0003,0.0423,0.1044,0.0046,0.1200,0.0315,0.0013,0.0514,0.0218,0.0009,0.1898,0.1777,0.0000,0.0780,1.0507,1.2289,1.0842
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",0.0116,0.0004,0.0909,0.0692,0.0031,0.0813,0.0487,0.0020,0.0743,0.0192,0.0008,0.2494,0.3037,0.0000,0.0775,1.1029,1.1535,1.1250
311520,Ice Cream and Frozen Dessert Manufacturing,0.0179,0.0007,0.0395,0.0222,0.0010,0.0120,0.0329,0.0014,0.0245,0.0331,0.0014,0.1087,0.2816,0.0000,0.1957,1.0581,1.0351,1.0588
311611,Animal (except Poultry) Slaughtering,0.0098,0.0003,0.0284,0.0285,0.0011,0.0229,0.0247,0.0009,0.0292,0.0251,0.0010,0.1189,0.1834,0.0000,0.1213,1.0386,1.0525,1.0548
311612,Meat Processed from Carcasses,0.0098,0.0003,0.0290,0.0329,0.0013,0.0261,0.0250,0.0009,0.0291,0.0250,0.0010,0.1224,0.1835,0.0000,0.1193,1.0392,1.0603,1.0551
311613,Rendering and Meat Byproduct Processing,0.0101,0.0003,0.0291,0.0424,0.0016,0.0321,0.0260,0.0010,0.0291,0.0258,0.0010,0.1228,0.1835,0.0000,0.1191,1.0396,1.0761,1.0561
311615,Poultry Processing,0.0084,0.0003,0.0498,0.0233,0.0009,0.0298,0.0159,0.0006,0.0269,0.0142,0.0006,0.1420,0.2835,0.0000,0.1663,1.0585,1.0540,1.0434
311710,Seafood Product Preparation and Packaging,0.0129,0.0005,0.0264,0.0300,0.0011,0.0156,0.0257,0.0009,0.0188,0.0300,0.0010,0.0798,0.2509,0.0000,0.1969,1.0398,1.0467,1.0453
311811,Retail Bakeries,0.0288,0.0019,0.0373,0.0172,0.0016,0.0069,0.0332,0.0022,0.0169,0.0398,0.0027,0.0760,0.3752,0.0000,0.3004,1.0680,1.0256,1.0524
311812,Commercial Bakeries,0.0288,0.0019,0.0377,0.0399,0.0036,0.0162,0.0334,0.0023,0.0172,0.0399,0.0027,0.0768,0.3752,0.0000,0.2996,1.0684,1.0597,1.0529
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",0.0291,0.0019,0.0371,0.0388,0.0035,0.0155,0.0334,0.0022,0.0173,0.0402,0.0028,0.0752,0.3752,0.0000,0.3014,1.0681,1.0578,1.0530
311821,Cookie and Cracker Manufacturing,0.0234,0.0015,0.0654,0.0407,0.0040,0.0278,0.0399,0.0028,0.0356,0.0346,0.0024,0.1500,0.3430,0.0000,0.1949,1.0902,1.0725,1.0783
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",0.0235,0.0015,0.0658,0.0561,0.0054,0.0374,0.0406,0.0029,0.0351,0.0349,0.0025,0.1517,0.3430,0.0000,0.1931,1.0909,1.0989,1.0785
311830,Tortilla Manufacturing,0.0234,0.0015,0.0655,0.0438,0.0043,0.0298,0.0398,0.0028,0.0355,0.0346,0.0024,0.1502,0.3431,0.0000,0.1946,1.0903,1.0778,1.0781
311911,Roasted Nuts and Peanut Butter Manufacturing,0.0495,0.0042,0.1057,0.2128,0.0281,0.0835,0.1279,0.0137,0.0725,0.0674,0.0070,0.2444,0.3558,0.0000,0.1061,1.1595,1.3245,1.2141
311919,Other Snack Food Manufacturing,0.0494,0.0042,0.1061,0.1734,0.0230,0.0699,0.1274,0.0137,0.0747,0.0671,0.0070,0.2444,0.3559,0.0000,0.1061,1.1596,1.2663,1.2158
311920,Coffee and Tea Manufacturing,0.0750,0.0068,0.0670,0.1687,0.0249,0.0343,0.1349,0.0161,0.0403,0.1235,0.0139,0.1885,0.2876,0.0000,0.1452,1.1488,1.2279,1.1913
311930,Flavoring Syrup and Concentrate Manufacturing,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",0.0370,0.0028,0.0708,0.0438,0.0050,0.0180,0.0584,0.0054,0.0336,0.0515,0.0047,0.1691,0.3402,0.0000,0.1776,1.1105,1.0667,1.0974
311942,Spice and Extract Manufacturing,0.0369,0.0027,0.0716,0.1456,0.0166,0.0590,0.0591,0.0054,0.0332,0.0513,0.0047,0.1718,0.3403,0.0000,0.1748,1.1112,1.2212,1.0977
311991,Perishable Prepared Food Manufacturing,0.0534,0.0045,0.0390,0.0968,0.0128,0.0204,0.0789,0.0085,0.0247,0.0986,0.0103,0.1172,0.2594,0.0000,0.1841,1.0969,1.1300,1.1121
311999,All Other Miscellaneous Food Manufacturing,0.0533,0.0045,0.0391,0.0898,0.0119,0.0191,0.0789,0.0085,0.0251,0.0985,0.0103,0.1176,0.2594,0.0000,0.1838,1.0970,1.1208,1.1125
